backup_seq,system_cd,system_nm,backup_dt,backup_type,backup_status,yn_restore_test,file_size_gb
188,PORTAL,고객포털,2024-11-07 02:23:00,incremental,S,,4.04
189,PORTAL,고객포털,2024-11-08 02:47:00,incremental,S,,4.72
190,PORTAL,고객포털,2024-11-09 02:22:00,incremental,S,,1.97
191,PORTAL,고객포털,2024-11-10 02:35:00,full,S,Y,40.19
192,PORTAL,고객포털,2024-11-11 02:06:00,incremental,S,,3.37
193,PORTAL,고객포털,2024-11-12 02:02:00,incremental,S,,1.76
194,PORTAL,고객포털,2024-11-13 02:55:00,incremental,S,,4.68
195,PORTAL,고객포털,2024-11-14 02:08:00,incremental,S,,4.64
196,PORTAL,고객포털,2024-11-15 02:27:00,incremental,S,,4.74
197,PORTAL,고객포털,2024-11-16 02:48:00,incremental,S,,3.21
198,PORTAL,고객포털,2024-11-17 02:19:00,full,S,Y,15.49
199,PORTAL,고객포털,2024-11-18 02:42:00,incremental,S,,1.42
200,PORTAL,고객포털,2024-11-19 02:39:00,incremental,S,,1.95
201,PORTAL,고객포털,2024-11-20 02:51:00,incremental,S,,2.75
202,PORTAL,고객포털,2024-11-21 02:32:00,incremental,S,,1.39
203,PORTAL,고객포털,2024-11-22 02:32:00,incremental,S,,4.12
204,PORTAL,고객포털,2024-11-23 02:58:00,incremental,S,,4.63
205,PORTAL,고객포털,2024-11-24 02:27:00,full,S,Y,39.23
206,PORTAL,고객포털,2024-11-25 02:49:00,incremental,S,,1.01
207,PORTAL,고객포털,2024-11-26 02:49:00,incremental,S,,1.69
208,PORTAL,고객포털,2024-11-27 02:44:00,incremental,S,,0.69
209,PORTAL,고객포털,2024-11-28 02:03:00,incremental,S,,3.32
210,PORTAL,고객포털,2024-11-29 02:21:00,incremental,S,,4.75
211,PORTAL,고객포털,2024-11-30 02:12:00,incremental,S,,3.5
212,PORTAL,고객포털,2024-12-01 02:19:00,full,S,Y,23.64
213,PORTAL,고객포털,2024-12-02 02:08:00,incremental,S,,3.35
214,PORTAL,고객포털,2024-12-03 02:16:00,incremental,S,,1.77
215,PORTAL,고객포털,2024-12-04 02:35:00,incremental,S,,0.55
216,PORTAL,고객포털,2024-12-05 02:01:00,incremental,S,,1.97
217,PORTAL,고객포털,2024-12-06 02:02:00,incremental,S,,4.68
218,PORTAL,고객포털,2024-12-07 02:19:00,incremental,S,,0.63
219,PORTAL,고객포털,2024-12-08 02:39:00,full,S,Y,6.86
220,PORTAL,고객포털,2024-12-09 02:44:00,incremental,S,,0.66
221,PORTAL,고객포털,2024-12-10 02:55:00,incremental,S,,2.43
222,PORTAL,고객포털,2024-12-11 02:08:00,incremental,S,,0.55
223,PORTAL,고객포털,2024-12-12 02:39:00,incremental,S,,4.69
224,PORTAL,고객포털,2024-12-13 02:53:00,incremental,S,,2.24
225,PORTAL,고객포털,2024-12-14 02:56:00,incremental,S,,3.07
226,PORTAL,고객포털,2024-12-15 02:40:00,full,S,Y,40.27
227,PORTAL,고객포털,2024-12-16 02:48:00,incremental,S,,1.8
228,PORTAL,고객포털,2024-12-17 02:00:00,incremental,S,,4.71
229,PORTAL,고객포털,2024-12-18 02:48:00,incremental,S,,2.54
230,PORTAL,고객포털,2024-12-19 02:55:00,incremental,S,,2.38
231,PORTAL,고객포털,2024-12-20 02:19:00,incremental,S,,3.79
232,PORTAL,고객포털,2024-12-21 02:46:00,incremental,S,,2.8
233,PORTAL,고객포털,2024-12-22 02:49:00,full,S,Y,48.07
234,PORTAL,고객포털,2024-12-23 02:44:00,incremental,S,,1.08
235,PORTAL,고객포털,2024-12-24 02:50:00,incremental,S,,1.88
236,PORTAL,고객포털,2024-12-25 02:58:00,incremental,S,,3.78
237,PORTAL,고객포털,2024-12-26 02:26:00,incremental,S,,0.86
238,PORTAL,고객포털,2024-12-27 02:20:00,incremental,S,,2.29
239,PORTAL,고객포털,2024-12-28 02:14:00,incremental,S,,0.86
240,PORTAL,고객포털,2024-12-29 02:55:00,full,S,Y,44.99
241,PORTAL,고객포털,2024-12-30 02:37:00,incremental,S,,3.32
242,PORTAL,고객포털,2024-12-31 02:17:00,incremental,S,,3.82
243,PORTAL,고객포털,2025-01-01 02:37:00,incremental,S,,3.8
244,PORTAL,고객포털,2025-01-02 02:28:00,incremental,S,,3.47
245,PORTAL,고객포털,2025-01-03 02:25:00,incremental,S,,0.98
246,PORTAL,고객포털,2025-01-04 02:40:00,incremental,S,,4.03
247,PORTAL,고객포털,2025-01-05 02:58:00,full,S,Y,10.61
248,PORTAL,고객포털,2025-01-06 02:04:00,incremental,S,,3.49
249,PORTAL,고객포털,2025-01-07 02:38:00,incremental,S,,1.3
250,PORTAL,고객포털,2025-01-08 02:40:00,incremental,S,,1.16
251,PORTAL,고객포털,2025-01-09 02:23:00,incremental,S,,1.93
252,PORTAL,고객포털,2025-01-10 02:05:00,incremental,S,,2.33
253,PORTAL,고객포털,2025-01-11 02:41:00,incremental,S,,2.75
254,PORTAL,고객포털,2025-01-12 02:40:00,full,S,Y,24.11
255,PORTAL,고객포털,2025-01-13 02:20:00,incremental,S,,0.84
256,PORTAL,고객포털,2025-01-14 02:47:00,incremental,S,,1.58
257,PORTAL,고객포털,2025-01-15 02:48:00,incremental,S,,3.36
258,PORTAL,고객포털,2025-01-16 02:05:00,incremental,S,,2.73
259,PORTAL,고객포털,2025-01-17 02:19:00,incremental,S,,1.02
260,PORTAL,고객포털,2025-01-18 02:12:00,incremental,S,,3.13
261,PORTAL,고객포털,2025-01-19 02:29:00,full,S,Y,24.21
262,PORTAL,고객포털,2025-01-20 02:29:00,incremental,S,,1.75
263,PORTAL,고객포털,2025-01-21 02:30:00,incremental,S,,2.19
264,PORTAL,고객포털,2025-01-22 02:37:00,incremental,S,,4.74
265,PORTAL,고객포털,2025-01-23 02:25:00,incremental,S,,3.84
266,PORTAL,고객포털,2025-01-24 02:21:00,incremental,S,,4.95
267,PORTAL,고객포털,2025-01-25 02:28:00,incremental,S,,3.78
268,PORTAL,고객포털,2025-01-26 02:00:00,full,S,Y,25.45
269,PORTAL,고객포털,2025-01-27 02:42:00,incremental,S,,4.89
270,PORTAL,고객포털,2025-01-28 02:12:00,incremental,S,,3.29
271,PORTAL,고객포털,2025-01-29 02:57:00,incremental,S,,0.78
272,PORTAL,고객포털,2025-01-30 02:15:00,incremental,S,,3.89
273,PORTAL,고객포털,2025-01-31 02:41:00,incremental,S,,2.28
274,PORTAL,고객포털,2025-02-01 02:37:00,incremental,S,,3.78
275,PORTAL,고객포털,2025-02-02 02:09:00,full,S,Y,41.83
276,PORTAL,고객포털,2025-02-03 02:36:00,incremental,S,,3.32
277,PORTAL,고객포털,2025-02-04 02:07:00,incremental,S,,3.34
278,PORTAL,고객포털,2025-02-05 02:12:00,incremental,S,,1.61
279,PORTAL,고객포털,2025-02-06 02:30:00,incremental,S,,3.45
280,PORTAL,고객포털,2025-02-07 02:59:00,incremental,S,,4.82
281,PORTAL,고객포털,2025-02-08 02:52:00,incremental,S,,2.66
282,PORTAL,고객포털,2025-02-09 02:41:00,full,S,Y,5.77
283,PORTAL,고객포털,2025-02-10 02:13:00,incremental,S,,2.83
284,PORTAL,고객포털,2025-02-11 02:47:00,incremental,S,,2.28
285,PORTAL,고객포털,2025-02-12 02:21:00,incremental,S,,4.97
286,PORTAL,고객포털,2025-02-13 02:15:00,incremental,S,,4.13
287,PORTAL,고객포털,2025-02-14 02:49:00,incremental,S,,1.12
288,PORTAL,고객포털,2025-02-15 02:37:00,incremental,S,,4.09
289,PORTAL,고객포털,2025-02-16 02:52:00,full,S,Y,43.13
290,PORTAL,고객포털,2025-02-17 02:51:00,incremental,F,,1.88
291,PORTAL,고객포털,2025-02-18 02:44:00,incremental,S,,2.71
292,PORTAL,고객포털,2025-02-19 02:15:00,incremental,S,,1.02
293,PORTAL,고객포털,2025-02-20 02:49:00,incremental,S,,2.61
294,PORTAL,고객포털,2025-02-21 02:01:00,incremental,S,,1.73
295,PORTAL,고객포털,2025-02-22 02:15:00,incremental,S,,2.2
296,PORTAL,고객포털,2025-02-23 02:14:00,full,S,N,32.77
297,PORTAL,고객포털,2025-02-24 02:43:00,incremental,S,,0.99
298,PORTAL,고객포털,2025-02-25 02:51:00,incremental,S,,4.77
299,PORTAL,고객포털,2025-02-26 02:29:00,incremental,S,,0.89
300,PORTAL,고객포털,2025-02-27 02:42:00,incremental,S,,1.74
301,PORTAL,고객포털,2025-02-28 02:45:00,incremental,S,,4.49
302,PORTAL,고객포털,2025-03-01 02:55:00,incremental,S,,2.17
303,PORTAL,고객포털,2025-03-02 02:51:00,full,S,N,45.67
304,PORTAL,고객포털,2025-03-03 02:47:00,incremental,S,,1.54
305,PORTAL,고객포털,2025-03-04 02:47:00,incremental,S,,2.69
306,PORTAL,고객포털,2025-03-05 02:39:00,incremental,S,,3.1
307,PORTAL,고객포털,2025-03-06 02:56:00,incremental,S,,1.17
308,PORTAL,고객포털,2025-03-07 02:15:00,incremental,S,,1.56
309,PORTAL,고객포털,2025-03-08 02:02:00,incremental,S,,1.4
310,PORTAL,고객포털,2025-03-09 02:30:00,full,S,N,19.14
311,PORTAL,고객포털,2025-03-10 02:47:00,incremental,S,,3.55
312,PORTAL,고객포털,2025-03-11 02:09:00,incremental,S,,2.82
313,PORTAL,고객포털,2025-03-12 02:43:00,incremental,S,,4.5
314,PORTAL,고객포털,2025-03-13 02:39:00,incremental,S,,2.63
315,PORTAL,고객포털,2025-03-14 02:23:00,incremental,S,,3.85
316,PORTAL,고객포털,2025-03-15 02:05:00,incremental,S,,3.13
317,PORTAL,고객포털,2025-03-16 02:27:00,full,S,N,39.52
318,PORTAL,고객포털,2025-03-17 02:26:00,incremental,S,,4.55
319,PORTAL,고객포털,2025-03-18 02:34:00,incremental,S,,2.48
320,PORTAL,고객포털,2025-03-19 02:36:00,incremental,S,,1.66
321,PORTAL,고객포털,2025-03-20 02:03:00,incremental,S,,3.75
322,PORTAL,고객포털,2025-03-21 02:36:00,incremental,S,,0.8
323,PORTAL,고객포털,2025-03-22 02:29:00,incremental,S,,3.82
324,PORTAL,고객포털,2025-03-23 02:31:00,full,S,Y,12.42
325,PORTAL,고객포털,2025-03-24 02:23:00,incremental,S,,2.1
326,PORTAL,고객포털,2025-03-25 02:25:00,incremental,S,,3.44
327,PORTAL,고객포털,2025-03-26 02:53:00,incremental,S,,4.01
328,PORTAL,고객포털,2025-03-27 02:44:00,incremental,S,,2.02
329,PORTAL,고객포털,2025-03-28 02:08:00,incremental,S,,4.99
330,PORTAL,고객포털,2025-03-29 02:52:00,incremental,S,,1.9
331,PORTAL,고객포털,2025-03-30 02:48:00,full,S,N,41.36
332,PORTAL,고객포털,2025-03-31 02:25:00,incremental,S,,3.72
333,PORTAL,고객포털,2025-04-01 02:43:00,incremental,S,,3.4
334,PORTAL,고객포털,2025-04-02 02:51:00,incremental,S,,3.56
335,PORTAL,고객포털,2025-04-03 02:13:00,incremental,S,,4.56
336,PORTAL,고객포털,2025-04-04 02:42:00,incremental,F,,3.74
337,PORTAL,고객포털,2025-04-05 02:02:00,incremental,S,,4.73
338,PORTAL,고객포털,2025-04-06 02:24:00,full,S,Y,9.12
339,PORTAL,고객포털,2025-04-07 02:37:00,incremental,S,,3.34
340,PORTAL,고객포털,2025-04-08 02:45:00,incremental,S,,4.29
341,PORTAL,고객포털,2025-04-09 02:44:00,incremental,S,,2.89
342,PORTAL,고객포털,2025-04-10 02:50:00,incremental,S,,4.34
343,PORTAL,고객포털,2025-04-11 02:05:00,incremental,S,,3.83
344,PORTAL,고객포털,2025-04-12 02:19:00,incremental,S,,2.0
345,PORTAL,고객포털,2025-04-13 02:47:00,full,S,Y,43.18
346,PORTAL,고객포털,2025-04-14 02:21:00,incremental,S,,2.4
347,PORTAL,고객포털,2025-04-15 02:33:00,incremental,S,,2.44
348,PORTAL,고객포털,2025-04-16 02:57:00,incremental,S,,3.93
349,PORTAL,고객포털,2025-04-17 02:16:00,incremental,S,,4.37
350,PORTAL,고객포털,2025-04-18 02:19:00,incremental,S,,2.69
351,PORTAL,고객포털,2025-04-19 02:33:00,incremental,S,,0.98
352,PORTAL,고객포털,2025-04-20 02:11:00,full,S,N,42.86
353,PORTAL,고객포털,2025-04-21 02:12:00,incremental,S,,1.89
354,PORTAL,고객포털,2025-04-22 02:19:00,incremental,S,,3.72
355,PORTAL,고객포털,2025-04-23 02:27:00,incremental,S,,2.49
356,PORTAL,고객포털,2025-04-24 02:59:00,incremental,F,,1.38
357,PORTAL,고객포털,2025-04-25 02:05:00,incremental,S,,3.31
358,PORTAL,고객포털,2025-04-26 02:42:00,incremental,S,,3.17
359,PORTAL,고객포털,2025-04-27 02:40:00,full,S,N,15.59
360,PORTAL,고객포털,2025-04-28 02:37:00,incremental,S,,1.39
361,PORTAL,고객포털,2025-04-29 02:16:00,incremental,S,,3.59
362,PORTAL,고객포털,2025-04-30 02:35:00,incremental,S,,3.75
363,ERP,경영관리시스템,2024-11-01 02:59:00,incremental,S,,2.17
364,ERP,경영관리시스템,2024-11-02 02:31:00,incremental,S,,1.95
365,ERP,경영관리시스템,2024-11-03 02:49:00,full,S,Y,18.25
366,ERP,경영관리시스템,2024-11-04 02:52:00,incremental,S,,2.25
367,ERP,경영관리시스템,2024-11-05 02:04:00,incremental,S,,4.41
368,ERP,경영관리시스템,2024-11-06 02:59:00,incremental,S,,1.85
369,ERP,경영관리시스템,2024-11-07 02:25:00,incremental,S,,4.87
370,ERP,경영관리시스템,2024-11-08 02:10:00,incremental,S,,0.55
371,ERP,경영관리시스템,2024-11-09 02:33:00,incremental,S,,4.4
