법령명,순번,조문내용
전자금융감독규정,11,제1절 통칙
전자금융감독규정,12,"제7조(전자금융거래 종류별 안전성 기준) 법 제21조제2항의 ""금융위원회가 정하는 기준""이라 함은 다음 각 호의 내용에 관하여 제8조부터 제36조에서 정하는 기준을 말한다.<개정 2025. 2. 5.>
  1. 인력, 조직, 교육 및 예산 부문<개정 2013. 12. 3., 2025. 2. 5.>
  2. 건물, 설비, 전산실 등 시설 부문
  3. 단말기, 전산자료 및 정보처리시스템 등 정보기술부문<개정 2025. 2. 5.>
  4. 해킹, 악성코드 감염 등 정보보호부문<신설 2025. 2. 5.>
  5. 정보처리시스템 및 전자금융거래 관련 사업 부문<신설 2025. 2. 5.>
  6. 비상대책 등 업무지속성부문<신설 2025. 2. 5.>
  7. 전산원장통제, 프로그램 통제 등 정보기술부문 내부통제<신설 2025. 2. 5.>
  8. 그 밖에 전자금융업무의 안전성 확보를 위하여 필요한 사항<종전의 제4호에서 이동, 2025. 2. 5.>"
전자금융감독규정,13,"제2절 인력, 조직 및 예산 부문"
전자금융감독규정,14,"제8조(인력, 조직, 교육 및 예산) ① 금융회사 또는 전자금융업자는 인력 및 조직의 운용에 관하여 다음 각 호의 사항을 준수하여야 한다.<개정 2013. 12. 3, 2025. 2. 5..>
  1. 정보처리시스템 및 전자금융업무 관련 전담 조직을 확보할 것
  2. 외부주문등에 관한 계약을 체결하는 때에는 계약내용의 적정성을 검토하고 자체적으로 통제가 가능하도록 회사내부에 조직과 인력을 갖출 것
  3. 정보보호최고책임자는 임직원의 정보보호역량 강화를 위하여 매년 교육계획을 수립ㆍ시행할 것<개정 2025. 2. 5.>
  4. 최고경영자는 전년도 교육계획 시행 결과를 평가하고, 정보보호최고책임자는 그 결과를 금년도 교육계획에 반영할 것<신설 2025. 2. 5.>
  5. 정보보호최고책임자는 임직원이 정보보안 관련법규를 준수하고 있는지 정기적으로 점검하고 그 점검결과 및 보완계획을 최고경영자에게 보고할 것<개정 2025. 2. 5..><신설 2013. 12. 3>
  6. 최고경영자는 임직원이 정보보안 관련법규를 위반할 경우 그 제재에 관한 세부기준 및 절차를 마련하여 운영할 것<종전의 제5호에서 이동, 2025. 2. 5.>
  ② 금융회사 또는 전자금융업자는 정보기술 및 정보보호 분야별 전문성을 갖춘 인력과 충분한 예산을 확보해야 한다.<개정 2013. 12. 3., 2025. 2. 5.>"
전자금융감독규정,15,"제8조의2(정보보호위원회 운영) ① 금융회사 또는 전자금융업자는 중요 정보보호에 관한 사항을 심의ㆍ의결하는 정보보호위원회를 설치 운영하여야 한다.
  ② 정보보호위원회의 장은 정보보호최고책임자로 하며, 위원은 정보보호업무 관련 부서장, 전산운영 및 개발 관련 부서장, 준법업무 관련 부서의 장 등으로 구성한다.
  ③ 정보보호위원회는 다음 각 호의 사항을 심의ㆍ의결한다.
  1. 법 제21조제4항에 따른 정보기술부문 계획서에 관한 사항
  2. 법 제21조의2제4항제1호에 관한 사항<개정 2015. 6. 24.>
  3. 법 제21조의3에서 정한 취약점 분석ㆍ평가 결과 및 보완조치의 이행계획에 관한 사항
  4. 전산보안사고 및 전산보안관련 규정 위반자의 처리에 관한 사항
  5. 제14조의2제1항의 클라우드컴퓨팅서비스의 이용에 관한 사항<신설 2022. 11. 23.>
  6. 기타 정보보호위원회의 장이 정보보안업무 수행에 필요하다고 정한 사항<개정 2022. 11. 23.>
  ④ 정보보호최고책임자는 정보보호위원회 심의ㆍ의결사항을 최고경영자에게 보고하여야 하며, 정보보호최고책임자가 전자금융거래의 안전성 및 신뢰성에 중대한 영향을 미친다고 판단하는 심의ㆍ의결사항에 대해서는 이사회에 보고 하여야 한다.<개정 2025. 2. 5.>
  ⑤ 최고경영자는 특별한 사정이 없는 한 정보보호위원회의 심의ㆍ의결사항을 준수하여야 한다."
전자금융감독규정,16,"제8조의3(직무의 분리) 금융회사 또는 전자금융업자는 정보기술부문의 내부통제를 위한 직무분리 기준을 수립ㆍ운용하여야 한다.
 [본조 신설 2025. 2. .5.]"
전자금융감독규정,17,제3절 시설부문
전자금융감독규정,18,"제9조(건물에 관한 사항) 금융회사 또는 전자금융업자는 전산실이 위치한 건물에 관하여 안전대책 및 출입통제 보안대책을 수립ㆍ운용해야 한다.<개정 2013. 12. 3., 2025. 2. 5.>"
전자금융감독규정,19,"제10조(전원, 공조 등 설비에 관한 사항) 금융회사 또는 전자금융업자는 전산실이 위치한 건물의 전원, 공조 등 설비의 안전성을 위한 기준을 수립 ㆍ운용해야 한다.<개정 2013. 12. 3. 2025. 2. 5.>"
전자금융감독규정,20,"제11조(전산실 등에 관한 사항) 금융회사 또는 전자금융업자는 전산실에 관하여 다음 각 호의 사항을 포함한 대책을 수립ㆍ운용하여야 한다.<개정 2013. 12. 3., 2025. 2. 5.>
  1. 국내에 본점을 둔 금융회사 또는 전자금융업자의 전산실 및 재해복구센터는 국내에 설치할 것(단, 제50조제2항에 따라 등록한 국외 사이버몰을 위한 전자지급 결제대행업자는 제외)<개정 2025. 2. 5.>
  2. 무선통신망을 설치하지 아니할 것<개정 2025. 2. 5.>
  3. 그 밖에 재해 및 위해방지, 출입ㆍ접근통제 등 전산실의 안전 및 보안에 관한 사항<개정 2025. 2. 5.>
  4. 삭제<2025. 2. 5.>
  5. 삭제<2025. 2. 5.>
  6. 삭제<2025. 2. 5.>
  7. 삭제<2025. 2. 5.>
  8. 삭제<2025. 2. 5.>
  9. 삭제<2025. 2. 5.>
  10. 삭제<2025. 2. 5.>
  11. 삭제<2025. 2. 5.>
  12. 삭제<2025. 2. 5.>"
전자금융감독규정,21,제4절 정보기술부문
전자금융감독규정,22,"제12조(단말기 보호대책) 금융회사 또는 전자금융업자는 단말기 보호를 위하여 다음 각 호의 사항을 준수하여야 한다.<개정 2013. 12. 3.>
  1. 단말기는 인가된 사용자만 사용할 수 있도록 관리할 것<개정 2015. 2. 3., 2025. 2. 5.>
  2. 정보처리시스템에 접속하는 단말기에 대해 정당한 사용자인가의 여부를 확인할 수 있는 기록을 유지할 것<개정 2015. 2. 3.>
  3. 외부 반출, 인터넷 접속, 그룹웨어 접속의 금지, 정기적인 악성코드 감염여부 확인 등 강화된 보호대책이 적용되는 중요단말기를 지정할 것<개정 2013. 12. 3., 2015. 2. 3., 2025. 2. 5.>
  4. 정보유출 및 악성코드 감염 등을 방지할 수 있도록 단말기에서 보조기억매체 등에 접근하는 것을 통제할 것<개정 2015. 2. 3., 2025. 2. 5.>
  5. 삭제 <2015. 2. 3.>"
전자금융감독규정,23,"제13조(전산자료 보호대책) ① 금융회사 또는 전자금융업자는 전산자료의 유출, 파괴 등을 방지하기 위하여 다음 각 호를 포함한 전산자료 보호대책을 수립ㆍ운용하여야 한다.<개정 2013. 12. 3.>
  1. 사용자 인증 수단을 개인별로 부여하고 접근권한은 최소한으로 부여하는 등 적절한 접근권한 관리 및 통제 절차를 수립ㆍ운용할 것<개정 2025. 2. 5.>
  2. 전산자료의 보유현황을 관리하고 책임자를 지정ㆍ운영할 것<종전의 제3호에서 이동, 2025. 2. 5.>
  3. 전산자료 및 전산장비의 반출ㆍ반입을 통제할 것<종전의 제5호에서 이동, 2025. 2. 5.>
  4. 비상시에 대비하여 전산자료에 대한 안전지출 및 긴급파기 계획을 수립ㆍ운용할 것<개정 2013. 12. 3. 2025. 2. 5.>
  5. 정기적으로 보조기억매체의 보유 현황 및 관리실태를 점검하고 책임자의 확인을 받을 것<종전의 제7호에서 이동, 2025. 2. 5.>
  6. 중요도에 따라 전산자료를 정기적으로 백업하여 원격 안전지역에 소산하고 백업내역을 기록ㆍ관리할 것<종전의 제8호에서 이동, 2025. 2. 5.>
  7. 주요 백업 전산자료에 대하여 정기적으로 검증할 것<종전의 제9호에서 이동, 2025. 2. 5.>
  8. 이용자 정보의 조회ㆍ출력에 대한 통제를 하고 테스트 시 이용자 정보 사용 금지(다만, 법인인 이용자 정보는 금융감독원장이 정하는 바에 따라 이용자의 동의를 얻은 경우 테스트 시 사용 가능하며, 그 외 부하 테스트 등 이용자 정보의 사용이 불가피한 경우 이용자 정보를 변환하여 사용하고 테스트 종료 즉시 삭제하여야 한다)<종전의 제10호에서 이동, 2025. 2. 5.><개정 2013. 12. 3., 2016. 10. 5.>
  9. 정보처리시스템의 가동기록은 금융감독원장이 정하는 사항을 접속의 성공여부와 상관없이 자동적으로 기록ㆍ유지하고 1년 이상 보존할 것<개정 2025. 2. 5.>
  10. 단말기에 이용자 정보 등 주요정보를 보관하지 아니하고, 단말기를 공유하지 아니할 것(다만, 불가피하게 단말기에 보관할 필요가 있는 경우 보관사유, 보관기간 및 관리 비밀번호 등을 정하여 책임자의 승인을 받아야 한다)<종전의 제13호에서 이동, 2025. 2. 5.>
  11. 사용자가 전출ㆍ퇴직 등 인사조치가 있을 때에는 지체 없이 해당 사용자계정 삭제, 계정 사용 중지, 공동 사용 계정 변경 등 정보처리시스템에 대한 접근을 통제할 것<종전의 제14호에서 이동, 2025. 2. 5.>
  ② 사용자계정의 공동 사용이 불가피한 경우에는 개인별 사용내역을 기록ㆍ관리하여야 한다.<개정 2025. 2. 5.>
  ③ 금융회사 또는 전자금융업자는 단말기와 전산자료의 접근권한이 부여되는 정보처리시스템 관리자에 대하여 적절한 통제장치를 마련ㆍ운용하여야 한다. 다만, 정보처리시스템 관리자의 주요 업무 관련 행위는 책임자가 제28조제2항에 따라 이중확인 및 모니터링을 하여야 한다.<종전의 제5항에서 이동, 2025. 2. 5.><개정 2013. 12. 3.>"
전자금융감독규정,24,"제14조(정보처리시스템 보호대책) 금융회사 또는 전자금융업자는 정보처리시스템의 안전한 운영을 위하여 운영매뉴얼, 유지보수관리대장, 책임자명부 및 장애상황기록부 등 다음 각 호를 포함한 보호대책을 수립ㆍ운용하여야 한다.<개정 2013. 12. 3., 2025. 2. 5.>
  1. 다음 각 목을 작성ㆍ보관 할 것<개정 2025. 2. 5.>
    가. 주요 정보처리시스템에 대한 운영매뉴얼
    나. 주요 정보처리시스템에 대한 정기적인 유지보수 실시 내용을 기록한 유지보수관리대장
    다. 정보처리시스템에 대한 책임자명부 및 장애상황기록부
  2. 정보처리시스템의 정상작동여부 확인을 위하여 시스템 자원 상태의 감시, 경고 및 제어가 가능하도록 모니터링시스템을 갖출 것<개정 2025. 2. 5.>
  3. 시스템 통합, 전환 및 재개발 시 장애 등으로 인하여 정보처리시스템의 운영에 지장이 초래되지 않도록 통제 절차를 마련하여 준수할 것<종전의 제5호에서 이동, 2025. 2. 5.>
  4. 정보처리시스템의 긴급하고 중요한 보정(patch)사항에 대하여는 즉시 보정 작업을 할 것<개정 2025. 2. 5.>
  5. 중요도에 따라 정보처리시스템의 운영체제 및 설정내용 등을 정기 백업 및 원격 안전지역에 소산하고 백업자료는 1년 이상 기록ㆍ관리할 것<종전의 제8호에서 이동, 2025. 2. 5.>
  6. 정보처리시스템의 운영체제(Operating System) 계정으로 로그인(Log in)할 경우 이중인증 절차를 시행하고, 계정에 대한 사용권한, 접근 기록, 작업 내역 등에 대한 상시 모니터링체계를 수립하며, 이상 징후 발생 시 필요한 통제 조치를 즉시 시행할 것<신설 2013. 12. 3., 개정 2025. 2. 5.>"
전자금융감독규정,25,"제14조의2(클라우드컴퓨팅서비스 이용절차 등) ① 금융회사 또는 전자금융업자는 「클라우드컴퓨팅 발전 및 이용자 보호에 관한 법률」 제2조제3호에 따른 클라우드컴퓨팅서비스를 이용하고자 하는 경우 다음 각 호의 절차를 수행하여야 한다.<개정 2018. 12. 21.>
  1. 다음 각 목의 기준에 따른 이용업무의 중요도 평가<개정 2022. 11. 23.>
    가. 규모, 복잡성 등 클라우드컴퓨팅서비스를 통해 처리되는 업무의 특성
    나. 클라우드컴퓨팅서비스 제공자로부터 제공받는 서비스가 중단될 경우 미치는 영향
    다. 전자적 침해행위 발생 시 고객에게 미치는 영향
    라. 여러 업무를 같은 클라우드컴퓨팅서비스 제공자에게 위탁하는 경우 해당 클라우드컴퓨팅서비스 제공자에 대한 종속 위험
    마. 클라우드컴퓨팅서비스 이용에 대한 금융회사 또는 전자금융업자의 내부통제 및 법규 준수 역량
    바. 그 밖에 금융감독원장이 정하여 고시하는 사항
  2. 클라우드컴퓨팅서비스 제공자의 건전성 및 안전성 등에 대한 평가(단, 제1호의 평가를 통해 비중요업무로 분류된 업무에 대해서는 <별표 2의2>의 평가항목 중 필수항목만 평가할 수 있다.)<개정 2022. 11. 23.>
  3. 클라우드컴퓨팅서비스 이용과 관련한 업무 연속성 계획 및 안전성 확보조치의 수립ㆍ시행(단, 제1호의 평가를 통해 비중요업무로 분류된 업무에 대해서는 <별표 2의3> 및 <별표 2의4>의 필수 사항만 수립ㆍ시행할 수 있다.)<개정 2022. 11. 23.>
  ② 금융회사 또는 전자금융업자는 제1항 각 호에 따른 평가결과, 업무연속성 계획 및 안전성 확보조치에 대하여 제8조의2에 따른 정보보호위원회의 심의ㆍ의결을 거쳐야 한다.<개정 2018. 12. 21., 2022. 11. 23.>
  ③ 금융회사 또는 전자금융업자는 제1항제2호의 평가를 직접 수행하거나 제37조의6제1항의 침해사고대응기관이 수행한 평가 결과를 활용할 수 있다.<개정 2018. 12. 21, 2022. 11. 23., 2025. 2. 5.>
  ④ 금융회사 또는 전자금융업자는 다음 각 호의 어느 하나에 해당하는 사유가 발생한 날로부터 3개월 이내에 금융감독원장에게 보고하여야 하고, 관련 서류를 최신상태로 유지하여야 한다.<신설 2018. 12. 21., 개정 2022. 11. 23., 2025. 2. 5.>
  1. 클라우드컴퓨팅서비스 이용계약을 신규로 체결하거나, 기존 클라우드컴퓨팅서비스 이용계약을 통해 신규 업무를 처리하는 경우<신설 2022. 11. 23., 개정 2025. 2. 5.>
  2. 클라우드컴퓨팅서비스 제공자의 합병, 분할, 계약상 지위의 양도, 재위탁 등 중대한 변경사항이 발생한 경우<개정 2022. 11. 23.>
  3. 클라우드컴퓨팅서비스 제공자가 서비스품질의 유지, 안전성 확보 등과 관련한 중요 계약사항을 이행하지 아니한 경우<개정 2022. 11. 23.>
  4. 제1항제2호 또는 제3호에 관한 중대한 변경사항이 발생한 경우<개정 2022. 11. 23.>
  ⑤ 제4항의 보고에 관한 양식, 첨부서류 등에 관해서는 금융감독원장이 정하는 바에 따른다.<신설 2018. 12. 21., 개정 2022. 11. 23., 2025. 2. 5.>
  ⑥ 금융감독원장은 제4항에 따라 제출한 보고 서류가 누락되거나, 중요도 평가 또는 업무연속성계획ㆍ안전성 확보조치 등이 충분하지 않다고 판단하는 경우에는 금융회사 또는 전자금융업자에 대하여 개선ㆍ보완을 요구할 수 있다.<종전의 제7항에서 이동, 2025. 2. 5.><개정 2018. 12. 21., 2022. 11. 23.>
  ⑦ 제1항의 절차를 거친 클라우드컴퓨팅서비스 제공자의 정보처리시스템이 위치한 전산실에 대해서는 제11조제1호 및 제2호, 제15조제1항제5호를 적용하지 아니한다. 다만, 금융회사 또는 전자금융업자(전자금융거래의 안전성 및 신뢰성에 중대한 영향을 미치지 않는 외국금융회사의 국내지점, 제50조의2에 따른 국외 사이버몰을 위한 전자지급결제대행업자는 제외한다)가 고유식별정보 또는 개인신용정보를 클라우드컴퓨팅서비스를 통하여 처리하는 경우에는 제11조제2호를 적용하고, 해당 정보처리시스템을 국내에 설치하여야 한다. <단서신설 2018. 12. 21><개정 2022. 11. 23., 2025. 2. 5.>
  ⑧ 그 밖에 금융회사 또는 전자금융업자의 클라우드컴퓨팅서비스 이용에 대해서는 「금융회사의 정보처리 업무 위탁에 관한 규정」에 따른다.<종전의 제9항에서 이동, 2025. 2. 5.><신설 2018. 12. 21.>"
전자금융감독규정,26,제5절 정보보호부문<신설 2025. 2. 5.>
